sample_id,distance_band,pair_id,origin_id,origin_name,origin_longitude,origin_latitude,destination_id,destination_name,destination_longitude,destination_latitude,bearing_sector,baseline_distance_meters,baseline_duration_seconds
S01,SHORT,839e87e1-410f-4d2b-bbd2-02a74b544c3b->788543f6-3514-476c-a84b-0c2f6a6c5eaa,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,788543f6-3514-476c-a84b-0c2f6a6c5eaa,国税局,105.241997,35.211411,N,339,132
S02,SHORT,07a075ce-c3b6-446f-939b-38b2eff62fb7->d7d6d1af-5029-436f-8737-d19f91c1d227,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,NE,1377,554
S03,SHORT,0267079d-57f0-40d3-9c95-34c50bf20574->190fc933-0159-4cb8-89f3-b5c58562f20a,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,E,264,31
S04,SHORT,8974eb9f-bbd7-41ec-8509-de83d7313401->9a746843-962f-41a2-a6c1-cac159766ae4,8974eb9f-bbd7-41ec-8509-de83d7313401,客都超市,105.24839,35.208145,9a746843-962f-41a2-a6c1-cac159766ae4,公安局,105.250999,35.205997,SE,506,97
S05,SHORT,788543f6-3514-476c-a84b-0c2f6a6c5eaa->839e87e1-410f-4d2b-bbd2-02a74b544c3b,788543f6-3514-476c-a84b-0c2f6a6c5eaa,国税局,105.241997,35.211411,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,S,340,126
M01,MEDIUM,f4d512d5-0eac-44ef-9b9e-d8d94c33282b->08cdcded-fff8-451e-8344-fef7a6877a03,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,N,1482,268
M02,MEDIUM,73b9e22f-8d1e-4031-a096-c6953644d51c->cb849019-46d6-40d7-be86-3643e1e8906b,73b9e22f-8d1e-4031-a096-c6953644d51c,县政府,105.238159,35.211498,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,E,1458,272
M03,MEDIUM,eb04f184-7eac-4df3-8a7f-d5455c163eca->0267079d-57f0-40d3-9c95-34c50bf20574,eb04f184-7eac-4df3-8a7f-d5455c163eca,财政局,105.241539,35.212078,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,SE,1646,447
M04,MEDIUM,08cdcded-fff8-451e-8344-fef7a6877a03->f4d512d5-0eac-44ef-9b9e-d8d94c33282b,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,S,1859,263
M05,MEDIUM,cb849019-46d6-40d7-be86-3643e1e8906b->73b9e22f-8d1e-4031-a096-c6953644d51c,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,73b9e22f-8d1e-4031-a096-c6953644d51c,县政府,105.238159,35.211498,W,2242,434
M06,MEDIUM,f4d512d5-0eac-44ef-9b9e-d8d94c33282b->190fc933-0159-4cb8-89f3-b5c58562f20a,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,NW,1680,302
M07,MEDIUM,d7d6d1af-5029-436f-8737-d19f91c1d227->bf5ec04a-f515-407f-90b3-937ba7055816,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,N,2336,268
M08,MEDIUM,f1994017-53ce-4340-8798-898f4f5cc576->9a9662c7-2669-437f-9408-22b8c5b78c1c,f1994017-53ce-4340-8798-898f4f5cc576,文庙街小学,105.248749,35.2066,9a9662c7-2669-437f-9408-22b8c5b78c1c,魏家庄,105.267975,35.211521,E,2327,453
M09,MEDIUM,839e87e1-410f-4d2b-bbd2-02a74b544c3b->af05e6f4-f448-4324-b07b-1b7e879f8b91,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,af05e6f4-f448-4324-b07b-1b7e879f8b91,教育局,105.245842,35.204529,SE,1545,297
M10,MEDIUM,bf5ec04a-f515-407f-90b3-937ba7055816->d7d6d1af-5029-436f-8737-d19f91c1d227,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,S,2336,244
