sample_id,audit_reference,predicted_pickup_eta_seconds,actual_pickup_elapsed_seconds,pickup_absolute_error_seconds,predicted_trip_eta_seconds,actual_trip_seconds,trip_absolute_error_seconds,absolute_percentage_error,pickup_estimate_direction,trip_estimate_direction,pickup_time_source,dropoff_time_source,estimate_provider,estimate_degraded,review_status
R01,P6-ETA-R01,391,391.418744,0,1391,1980,589,29.7475,LOW,LOW,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R02,P6-ETA-R02,679,377.978531,301,294,900,606,67.3333,HIGH,LOW,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R03,P6-ETA-R03,760,376.217701,384,1363,1920,557,29.0104,HIGH,LOW,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R04,P6-ETA-R04,59,1199.166230,1140,1391,180,1211,672.7778,LOW,HIGH,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R05,P6-ETA-R05,956,1135.832587,180,294,120,174,145.0000,LOW,HIGH,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R06,P6-ETA-R06,894,1193.891342,300,1334,120,1214,1011.6667,LOW,HIGH,COLOCATED_AUDIT_LINKED_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R07,P6-ETA-R07,783,441.877205,341,1547,1440,107,7.4306,HIGH,HIGH,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R08,P6-ETA-R08,745,684.612505,60,334,480,146,30.4167,HIGH,LOW,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R09,P6-ETA-R09,815,874.712009,60,1334,1020,314,30.7843,LOW,HIGH,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
R10,P6-ETA-R10,789,128.838055,660,1382,2880,1498,52.0139,HIGH,LOW,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,DIRECT_IMMUTABLE_EVENT:MANUAL_DISPATCHER,AMAP,false,VALIDATED_SYSTEM_EVIDENCE
