sample_id,iteration,requested_at,latency_ms,success,distance_meters,duration_seconds,provider,degraded,failure_reason
S01,1,2026-08-09T16:44:14.127091500Z,5621,true,339,121,AMAP,false,
S02,1,2026-08-09T16:44:19.748237700Z,1210,true,1377,591,AMAP,false,
S03,1,2026-08-09T16:44:20.968241100Z,1234,true,264,41,AMAP,false,
S04,1,2026-08-09T16:44:22.202705200Z,1196,true,506,83,AMAP,false,
S05,1,2026-08-09T16:44:23.402554700Z,1213,true,340,135,AMAP,false,
M01,1,2026-08-09T16:44:24.617860200Z,1252,true,1482,229,AMAP,false,
M02,1,2026-08-09T16:44:25.871124500Z,1211,true,1458,237,AMAP,false,
M03,1,2026-08-09T16:44:27.084087300Z,1175,true,2020,399,AMAP,false,
M04,1,2026-08-09T16:44:28.260358600Z,1806,true,1508,282,AMAP,false,
M05,1,2026-08-09T16:44:30.067555800Z,1200,true,2242,370,AMAP,false,
M06,1,2026-08-09T16:44:31.275605500Z,1239,true,1680,308,AMAP,false,
M07,1,2026-08-09T16:44:32.515238200Z,1229,true,2336,290,AMAP,false,
M08,1,2026-08-09T16:44:33.742916900Z,1216,true,2327,449,AMAP,false,
M09,1,2026-08-09T16:44:34.961999900Z,1763,true,1545,266,AMAP,false,
M10,1,2026-08-09T16:44:36.726604600Z,1263,true,2336,249,AMAP,false,
L01,1,2026-08-09T16:44:37.991558900Z,1211,true,2995,877,AMAP,false,
L02,1,2026-08-09T16:44:39.204252300Z,1460,true,16946,1652,AMAP,false,
L03,1,2026-08-09T16:44:40.666485700Z,1239,true,3409,588,AMAP,false,
L04,1,2026-08-09T16:44:41.907713800Z,1223,true,4888,1456,AMAP,false,
L05,1,2026-08-09T16:44:43.131681200Z,2330,true,17285,1470,AMAP,false,
S01,2,2026-08-09T16:44:45.462636100Z,2180,true,339,121,AMAP,false,
S02,2,2026-08-09T16:44:47.644307300Z,2205,true,1377,591,AMAP,false,
S03,2,2026-08-09T16:44:49.850825500Z,2219,true,264,41,AMAP,false,
S04,2,2026-08-09T16:44:52.074656800Z,2668,true,506,83,AMAP,false,
S05,2,2026-08-09T16:44:54.744385900Z,4689,true,340,135,AMAP,false,
M01,2,2026-08-09T16:44:59.434888200Z,1683,true,1482,229,AMAP,false,
M02,2,2026-08-09T16:45:01.116199900Z,1411,true,1458,237,AMAP,false,
M03,2,2026-08-09T16:45:02.526277400Z,1252,true,2020,399,AMAP,false,
M04,2,2026-08-09T16:45:03.783233Z,1205,true,1508,282,AMAP,false,
M05,2,2026-08-09T16:45:04.988701Z,3266,true,2242,370,AMAP,false,
M06,2,2026-08-09T16:45:08.258039100Z,1218,true,1680,308,AMAP,false,
M07,2,2026-08-09T16:45:09.477176600Z,1178,true,2336,290,AMAP,false,
M08,2,2026-08-09T16:45:10.655670900Z,1215,true,2327,449,AMAP,false,
