pair_id,origin_id,origin_name,origin_longitude,origin_latitude,destination_id,destination_name,destination_longitude,destination_latitude,bearing_sector,success,distance_meters,duration_seconds,latency_ms,failure_reason
839e87e1-410f-4d2b-bbd2-02a74b544c3b->788543f6-3514-476c-a84b-0c2f6a6c5eaa,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,788543f6-3514-476c-a84b-0c2f6a6c5eaa,国税局,105.241997,35.211411,N,true,339,132,5891,
8e8a3cb3-c5cc-41ec-82e5-33d3f531f638->aec37659-fc80-4746-b61e-4f811ae7fb93,8e8a3cb3-c5cc-41ec-82e5-33d3f531f638,农贸市场,105.246284,35.202854,aec37659-fc80-4746-b61e-4f811ae7fb93,农业局家属院,105.246307,35.207283,N,true,803,275,2194,
0267079d-57f0-40d3-9c95-34c50bf20574->aec37659-fc80-4746-b61e-4f811ae7fb93,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,aec37659-fc80-4746-b61e-4f811ae7fb93,农业局家属院,105.246307,35.207283,N,true,810,266,1230,
f4d512d5-0eac-44ef-9b9e-d8d94c33282b->08cdcded-fff8-451e-8344-fef7a6877a03,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,N,true,1482,268,1153,
d7d6d1af-5029-436f-8737-d19f91c1d227->bf5ec04a-f515-407f-90b3-937ba7055816,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,N,true,2336,268,1283,
07a075ce-c3b6-446f-939b-38b2eff62fb7->bf5ec04a-f515-407f-90b3-937ba7055816,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,N,true,2995,747,1269,
07a075ce-c3b6-446f-939b-38b2eff62fb7->d7d6d1af-5029-436f-8737-d19f91c1d227,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,NE,true,1377,554,1868,
4d8d3243-a3cd-401e-b516-320fbe12700a->ec9c94e8-9481-47f1-8318-461cb76c3658,4d8d3243-a3cd-401e-b516-320fbe12700a,水务局,105.254303,35.206852,ec9c94e8-9481-47f1-8318-461cb76c3658,张家岔,105.274223,35.226181,NE,true,4271,645,2486,
08cdcded-fff8-451e-8344-fef7a6877a03->b99f7b8e-dd09-4693-bc81-3b500e3ef659,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,b99f7b8e-dd09-4693-bc81-3b500e3ef659,水泉村,105.297279,35.232304,NE,true,8444,776,1933,
5c8f1977-1367-4bf1-8076-f482704d0b9f->07a075ce-c3b6-446f-939b-38b2eff62fb7,5c8f1977-1367-4bf1-8076-f482704d0b9f,文化广场,105.243851,35.20805,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,NE,true,12833,1950,1564,
cb849019-46d6-40d7-be86-3643e1e8906b->bf5ec04a-f515-407f-90b3-937ba7055816,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,NE,true,16124,1420,2677,
190fc933-0159-4cb8-89f3-b5c58562f20a->1749ead9-9ec7-4c75-89dd-46b257020e90,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,1749ead9-9ec7-4c75-89dd-46b257020e90,陇阳新农村,105.32151,35.277973,NE,true,16946,1433,3228,
0267079d-57f0-40d3-9c95-34c50bf20574->190fc933-0159-4cb8-89f3-b5c58562f20a,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,E,true,264,31,1426,
5c8f1977-1367-4bf1-8076-f482704d0b9f->f1994017-53ce-4340-8798-898f4f5cc576,5c8f1977-1367-4bf1-8076-f482704d0b9f,文化广场,105.243851,35.20805,f1994017-53ce-4340-8798-898f4f5cc576,文庙街小学,105.248749,35.2066,E,true,641,162,1219,
18351d6d-f607-48d9-a546-2d7c3b8dda0f->314ee618-d81a-4a4d-81e3-a4bd3289c009,18351d6d-f607-48d9-a546-2d7c3b8dda0f,南河桥,105.245438,35.203648,314ee618-d81a-4a4d-81e3-a4bd3289c009,一中东门,105.252708,35.204842,E,true,1197,348,1793,
73b9e22f-8d1e-4031-a096-c6953644d51c->cb849019-46d6-40d7-be86-3643e1e8906b,73b9e22f-8d1e-4031-a096-c6953644d51c,县政府,105.238159,35.211498,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,E,true,1458,272,2197,
f1994017-53ce-4340-8798-898f4f5cc576->9a9662c7-2669-437f-9408-22b8c5b78c1c,f1994017-53ce-4340-8798-898f4f5cc576,文庙街小学,105.248749,35.2066,9a9662c7-2669-437f-9408-22b8c5b78c1c,魏家庄,105.267975,35.211521,E,true,2327,453,1340,
8694763d-05f8-4675-95a5-9111a873e02f->9a9662c7-2669-437f-9408-22b8c5b78c1c,8694763d-05f8-4675-95a5-9111a873e02f,工信局,105.239937,35.211586,9a9662c7-2669-437f-9408-22b8c5b78c1c,魏家庄,105.267975,35.211521,E,true,3409,657,1273,
8974eb9f-bbd7-41ec-8509-de83d7313401->9a746843-962f-41a2-a6c1-cac159766ae4,8974eb9f-bbd7-41ec-8509-de83d7313401,客都超市,105.24839,35.208145,9a746843-962f-41a2-a6c1-cac159766ae4,公安局,105.250999,35.205997,SE,true,506,97,1190,
839e87e1-410f-4d2b-bbd2-02a74b544c3b->af05e6f4-f448-4324-b07b-1b7e879f8b91,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,af05e6f4-f448-4324-b07b-1b7e879f8b91,教育局,105.245842,35.204529,SE,true,1545,297,3295,
190fc933-0159-4cb8-89f3-b5c58562f20a->f4d512d5-0eac-44ef-9b9e-d8d94c33282b,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,SE,true,988,134,1155,
839e87e1-410f-4d2b-bbd2-02a74b544c3b->314ee618-d81a-4a4d-81e3-a4bd3289c009,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,314ee618-d81a-4a4d-81e3-a4bd3289c009,一中东门,105.252708,35.204842,SE,true,1247,406,1214,
eb04f184-7eac-4df3-8a7f-d5455c163eca->0267079d-57f0-40d3-9c95-34c50bf20574,eb04f184-7eac-4df3-8a7f-d5455c163eca,财政局,105.241539,35.212078,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,SE,true,1646,447,1193,
8694763d-05f8-4675-95a5-9111a873e02f->190fc933-0159-4cb8-89f3-b5c58562f20a,8694763d-05f8-4675-95a5-9111a873e02f,工信局,105.239937,35.211586,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,SE,true,2185,378,2476,
788543f6-3514-476c-a84b-0c2f6a6c5eaa->839e87e1-410f-4d2b-bbd2-02a74b544c3b,788543f6-3514-476c-a84b-0c2f6a6c5eaa,国税局,105.241997,35.211411,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,S,true,340,126,1199,
aec37659-fc80-4746-b61e-4f811ae7fb93->8e8a3cb3-c5cc-41ec-82e5-33d3f531f638,aec37659-fc80-4746-b61e-4f811ae7fb93,农业局家属院,105.246307,35.207283,8e8a3cb3-c5cc-41ec-82e5-33d3f531f638,农贸市场,105.246284,35.202854,S,true,803,248,1704,
aec37659-fc80-4746-b61e-4f811ae7fb93->0267079d-57f0-40d3-9c95-34c50bf20574,aec37659-fc80-4746-b61e-4f811ae7fb93,农业局家属院,105.246307,35.207283,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,S,true,978,251,1398,
08cdcded-fff8-451e-8344-fef7a6877a03->f4d512d5-0eac-44ef-9b9e-d8d94c33282b,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,S,true,1859,263,1871,
bf5ec04a-f515-407f-90b3-937ba7055816->d7d6d1af-5029-436f-8737-d19f91c1d227,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,S,true,2336,244,2199,
bf5ec04a-f515-407f-90b3-937ba7055816->07a075ce-c3b6-446f-939b-38b2eff62fb7,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,S,true,4888,1373,1295,
d7d6d1af-5029-436f-8737-d19f91c1d227->07a075ce-c3b6-446f-939b-38b2eff62fb7,d7d6d1af-5029-436f-8737-d19f91c1d227,周家店,105.316689,35.259007,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,SW,true,3270,1116,2122,
ec9c94e8-9481-47f1-8318-461cb76c3658->4d8d3243-a3cd-401e-b516-320fbe12700a,ec9c94e8-9481-47f1-8318-461cb76c3658,张家岔,105.274223,35.226181,4d8d3243-a3cd-401e-b516-320fbe12700a,水务局,105.254303,35.206852,SW,true,4336,626,1236,
b99f7b8e-dd09-4693-bc81-3b500e3ef659->08cdcded-fff8-451e-8344-fef7a6877a03,b99f7b8e-dd09-4693-bc81-3b500e3ef659,水泉村,105.297279,35.232304,08cdcded-fff8-451e-8344-fef7a6877a03,陇阳路口,105.258743,35.206093,SW,true,8705,818,2878,
07a075ce-c3b6-446f-939b-38b2eff62fb7->5c8f1977-1367-4bf1-8076-f482704d0b9f,07a075ce-c3b6-446f-939b-38b2eff62fb7,王家河,105.312042,35.252342,5c8f1977-1367-4bf1-8076-f482704d0b9f,文化广场,105.243851,35.20805,SW,true,14968,1614,1833,
bf5ec04a-f515-407f-90b3-937ba7055816->cb849019-46d6-40d7-be86-3643e1e8906b,bf5ec04a-f515-407f-90b3-937ba7055816,黄家寨子,105.318459,35.272781,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,SW,true,16537,1402,1924,
1749ead9-9ec7-4c75-89dd-46b257020e90->190fc933-0159-4cb8-89f3-b5c58562f20a,1749ead9-9ec7-4c75-89dd-46b257020e90,陇阳新农村,105.32151,35.277973,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,SW,true,17285,1486,2033,
190fc933-0159-4cb8-89f3-b5c58562f20a->0267079d-57f0-40d3-9c95-34c50bf20574,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,0267079d-57f0-40d3-9c95-34c50bf20574,通和初中,105.247574,35.202133,W,true,776,164,1266,
f1994017-53ce-4340-8798-898f4f5cc576->5c8f1977-1367-4bf1-8076-f482704d0b9f,f1994017-53ce-4340-8798-898f4f5cc576,文庙街小学,105.248749,35.2066,5c8f1977-1367-4bf1-8076-f482704d0b9f,文化广场,105.243851,35.20805,W,true,640,169,1331,
314ee618-d81a-4a4d-81e3-a4bd3289c009->18351d6d-f607-48d9-a546-2d7c3b8dda0f,314ee618-d81a-4a4d-81e3-a4bd3289c009,一中东门,105.252708,35.204842,18351d6d-f607-48d9-a546-2d7c3b8dda0f,南河桥,105.245438,35.203648,W,true,1199,388,1712,
cb849019-46d6-40d7-be86-3643e1e8906b->73b9e22f-8d1e-4031-a096-c6953644d51c,cb849019-46d6-40d7-be86-3643e1e8906b,中医院,105.250351,35.207657,73b9e22f-8d1e-4031-a096-c6953644d51c,县政府,105.238159,35.211498,W,true,2242,434,1405,
9a9662c7-2669-437f-9408-22b8c5b78c1c->f1994017-53ce-4340-8798-898f4f5cc576,9a9662c7-2669-437f-9408-22b8c5b78c1c,魏家庄,105.267975,35.211521,f1994017-53ce-4340-8798-898f4f5cc576,文庙街小学,105.248749,35.2066,W,true,2328,426,4178,
9a9662c7-2669-437f-9408-22b8c5b78c1c->8694763d-05f8-4675-95a5-9111a873e02f,9a9662c7-2669-437f-9408-22b8c5b78c1c,魏家庄,105.267975,35.211521,8694763d-05f8-4675-95a5-9111a873e02f,工信局,105.239937,35.211586,W,true,3237,578,1348,
9a746843-962f-41a2-a6c1-cac159766ae4->8974eb9f-bbd7-41ec-8509-de83d7313401,9a746843-962f-41a2-a6c1-cac159766ae4,公安局,105.250999,35.205997,8974eb9f-bbd7-41ec-8509-de83d7313401,客都超市,105.24839,35.208145,NW,true,642,159,1200,
af05e6f4-f448-4324-b07b-1b7e879f8b91->839e87e1-410f-4d2b-bbd2-02a74b544c3b,af05e6f4-f448-4324-b07b-1b7e879f8b91,教育局,105.245842,35.204529,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,NW,true,1623,415,1230,
f4d512d5-0eac-44ef-9b9e-d8d94c33282b->190fc933-0159-4cb8-89f3-b5c58562f20a,f4d512d5-0eac-44ef-9b9e-d8d94c33282b,高铁站,105.258224,35.197636,190fc933-0159-4cb8-89f3-b5c58562f20a,姜滩小学,105.250519,35.201557,NW,true,1680,302,1264,
314ee618-d81a-4a4d-81e3-a4bd3289c009->839e87e1-410f-4d2b-bbd2-02a74b544c3b,314ee618-d81a-4a4d-81e3-a4bd3289c009,一中东门,105.252708,35.204842,839e87e1-410f-4d2b-bbd2-02a74b544c3b,工商银行,105.242149,35.209427,NW,true,1246,442,1284,
