sample_id,path_point_count,route_fingerprint,distance_meters,duration_seconds,latency_ms
S01,23,f74720b9c694e15b2b1f5b4d5b290a04c3e13260cd6452bd4a4149fc31b527a0,339,122,4951
S02,42,e180959a2bb425196c9fcf6cbc5780b6d63c239239f9f44b6b566889d31a1e1f,1377,590,2427
S03,9,28a83f3a55bf4f2be957e17f40c00f07e408b6e6647f50470f268828dcd9137b,264,28,1302
S04,15,f6ebbeb1ca349d91a706f0472a499861111e15e6529a4e15ec89e4767e25258b,506,83,3613
S05,23,6eb729e95d119fd70c9ff83698676bd8f0c228a2f5ee1c8d0e5608faaecaee1b,340,130,2268
M01,32,84837c814050459ff66dce7b3608f160d748209ae2b54b50a50ac47ed1d61059,1482,229,1740
M02,32,6b3814355564bbf15177220bb0b5805c5b394d1efd56c8442ebc445185685eaa,1458,208,1207
M03,51,b61cf8f37573a132fd4e9b2214cad6510ef5761a3d3d1334a9d5ea796c053d35,2020,387,2312
M04,29,daedbb802184a4d22f16df300de907204ad1d39c779b2bdad00c93ab91be6f8a,1508,266,1301
M05,36,a8a6d9ed35ba02b50486874f745578f46970df58ffd05129929f78591ef2046e,2242,363,2801
M06,50,721d02470a37e411d77add5613a8fa32292cf1cd855b136615391720dbbdc83c,1680,299,1792
M07,64,72aa26b43929ad3d9fe29b59000e6714ce44421e5e4bfe75e74cb9cf10bfc577,2336,290,1525
M08,95,9a1ca7ce38a27b297c65c4b3a40df80a8574734293f5082338b1e41c66a07a12,2327,445,3217
M09,33,7aea70ecc4bf5e55ba1bfe3caf29ff0144fb8e6eb2d9e023073f9f925b1fab7c,1545,259,1724
M10,64,c027bfe9cd8db37bd211062e9375787a25f68c669cef0b4fe7c72e977021e0f7,2336,249,1173
L01,67,f895c0e608a5410e3e4b13c94e6ed2e984681abe2fc0e05242abdce91b0a14a3,2995,872,2493
L02,465,f53e5373f0c69dd6dd89e17f4cb9925001bea5f4e3e9b6f8c53173805f83ffbe,16946,1586,1371
L03,118,417b7abbc0b822c388b0b39243ab88160d8cd93fb26f54da55f2b8f4c5571ec0,3409,565,1234
L04,117,303b07ce4d5c0876fa14c16991ad2dcf8298e4ad9cc186671f002adebef6872b,4888,1438,1338
L05,482,6262b4c6fa772e2bf57bb7ec51fcd8aeb5f6e9e6667f79a6060c80e511f24b8f,17285,1455,1426
